elt   U30A      U30B      U35A      U35B      U35C      U40A      U40B      U40C    
51Cr  1.11E-11  4.03E-06  2.92E-13  7.01E-11  8.19E-06  3.47E-14  5.29E-12  1.87E-05  
52Cr  5.43E-09  9.78E-07  1.56E-08  1.62E-08  1.46E-06  6.57E-09  7.16E-09  1.48E-06  
53Cr  3.00E-10  1.41E-09  1.89E-09  1.94E-09  3.17E-09  3.38E-10  4.50E-10  3.20E-09  
54Cr  4.97E-10  7.54E-10  1.34E-08  1.42E-08  1.47E-08  1.20E-10  1.07E-09  1.90E-09  
51Mn  8.87E-14  1.18E-05  7.34E-16  3.36E-13  1.91E-05  5.86E-17  1.63E-13  2.80E-05  
52Mn  1.48E-12  1.26E-04  1.83E-14  3.35E-12  2.46E-04  9.12E-16  1.93E-12  4.63E-04  
53Mn  4.03E-11  1.11E-04  3.97E-14  5.71E-11  2.00E-04  1.72E-15  2.06E-11  3.72E-04  
54Mn  2.22E-11  2.52E-07  1.60E-13  1.93E-11  3.14E-07  2.02E-15  1.24E-11  8.12E-07  
55Mn  1.31E-09  9.16E-09  3.91E-09  4.89E-09  2.78E-08  1.48E-09  1.75E-09  2.41E-08  
52Fe  1.35E-14  3.01E-03  3.48E-20  2.80E-14  5.80E-03  1.83E-21  4.41E-14  8.46E-03  
53Fe  2.31E-14  3.45E-05  3.56E-18  5.63E-14  4.48E-05  3.78E-18  4.33E-14  3.17E-05  
54Fe  1.38E-09  8.10E-04  1.50E-09  1.75E-09  1.14E-03  1.69E-09  1.75E-09  2.85E-03  
55Fe  8.94E-11  3.88E-05  1.00E-12  1.43E-10  1.21E-04  1.35E-11  6.93E-11  1.38E-04  
56Fe  5.54E-07  6.42E-06  6.07E-07  6.34E-07  1.08E-05  6.89E-07  7.26E-07  8.95E-06  
57Fe  2.86E-08  1.22E-07  2.36E-08  3.54E-08  2.70E-07  2.99E-08  4.79E-08  2.35E-07  
58Fe  3.54E-08  3.47E-08  6.17E-09  5.01E-08  5.65E-08  1.05E-08  7.36E-08  9.69E-08  
59Fe  9.15E-10  8.86E-10  5.76E-09  6.54E-09  6.52E-09  2.96E-09  1.14E-08  1.17E-08  
60Fe  7.60E-09  7.44E-09  1.73E-08  1.80E-08  1.80E-08  1.23E-09  5.80E-09  6.17E-09  
55Co  5.39E-13  4.24E-04  7.60E-15  7.44E-13  1.01E-03  1.03E-14  6.98E-13  1.65E-03  
56Co  1.49E-11  2.92E-03  2.87E-13  1.67E-11  5.49E-03  3.88E-13  1.40E-11  4.82E-03  
57Co  2.27E-09  2.72E-04  6.39E-14  1.48E-09  6.76E-04  9.91E-14  9.58E-10  6.37E-04  
58Co  7.41E-10  1.20E-07  4.86E-14  4.98E-10  3.11E-06  8.39E-14  3.26E-10  8.98E-06  
59Co  1.73E-08  1.81E-08  1.55E-09  1.98E-08  2.93E-08  2.47E-09  2.25E-08  3.81E-08  
