elt   T30A      T30B      T35A      T35B      T35C      T40A      T40B      T40C    
KE    1.28      1.84      1.23      2.03      2.47      1.21      2.00      2.54    
1H    11.6      11.6      12.8      12.8      12.8      13.7      13.7      13.7      
4He   10.3      10.3      12.0      12.0      12.1      13.9      13.9      13.9      
47V   2.81E-10  1.96E-07  5.71E-11  7.88E-08  8.59E-07  7.71E-12  3.50E-10  5.59E-07  
48V   1.11E-09  2.58E-05  2.07E-10  4.90E-05  3.99E-05  3.49E-11  6.67E-10  6.76E-05  
49V   1.35E-08  4.38E-06  5.84E-09  9.87E-06  6.60E-06  2.13E-09  9.71E-09  1.31E-05  
50V   3.29E-09  5.30E-09  3.47E-09  7.41E-09  7.10E-09  1.86E-09  5.82E-09  1.11E-08  
51V   1.92E-08  6.59E-08  1.94E-08  1.53E-07  3.07E-08  1.78E-08  2.63E-08  4.31E-08  
48Cr  8.44E-11  2.26E-04  3.89E-12  2.54E-04  5.89E-04  1.73E-13  1.63E-10  7.65E-04  
49Cr  6.41E-11  4.91E-06  2.71E-12  2.48E-06  9.60E-06  2.10E-13  1.49E-10  1.29E-05  
50Cr  1.87E-08  9.25E-06  8.62E-09  1.16E-05  1.13E-05  8.32E-09  1.18E-08  2.88E-05  
51Cr  6.71E-09  1.11E-05  9.79E-10  2.36E-05  8.48E-06  2.13E-10  2.27E-09  2.20E-05  
52Cr  1.68E-06  1.63E-05  1.88E-06  4.17E-05  4.00E-06  2.06E-06  2.09E-06  6.26E-06  
53Cr  9.82E-08  9.98E-08  1.13E-07  1.17E-07  1.17E-07  1.23E-07  1.29E-07  1.32E-07  
54Cr  1.00E-07  1.00E-07  1.32E-07  1.63E-07  1.63E-07  1.17E-07  2.12E-07  2.12E-07  
51Mn  5.19E-11  9.60E-06  2.32E-12  3.88E-06  1.94E-05  2.58E-13  7.51E-11  2.98E-05  
52Mn  7.12E-10  7.82E-04  2.99E-11  2.01E-03  2.69E-04  2.65E-12  5.97E-10  6.05E-04  
53Mn  6.05E-09  1.50E-04  1.08E-09  2.35E-04  1.99E-04  2.96E-10  2.56E-09  4.05E-04  
54Mn  4.78E-09  3.65E-07  1.18E-09  4.09E-07  3.79E-07  2.54E-10  2.27E-09  1.10E-06  
55Mn  3.28E-07  3.42E-07  3.64E-07  3.96E-07  4.01E-07  3.86E-07  4.12E-07  4.50E-07  
52Fe  4.01E-12  2.93E-03  5.09E-14  3.31E-03  5.61E-03  4.10E-15  1.18E-11  8.52E-03  
53Fe  4.54E-12  2.28E-05  5.11E-14  6.80E-06  4.50E-05  1.20E-14  9.75E-12  2.88E-05  
54Fe  6.01E-07  1.08E-03  6.72E-07  1.34E-03  1.34E-03  7.37E-07  7.39E-07  3.78E-03  
55Fe  2.67E-08  7.76E-05  1.36E-08  1.37E-04  1.44E-04  1.50E-08  2.05E-08  2.16E-04  
56Fe  1.07E-04  1.17E-04  1.21E-04  1.32E-04  1.35E-04  1.32E-04  1.33E-04  1.56E-04  
57Fe  4.39E-06  4.56E-06  5.12E-06  5.39E-06  5.62E-06  5.71E-06  6.03E-06  6.62E-06  
58Fe  3.27E-06  3.30E-06  3.74E-06  4.61E-06  4.62E-06  3.72E-06  6.00E-06  6.03E-06  
59Fe  1.16E-07  1.47E-07  1.56E-07  1.97E-07  2.16E-07  3.84E-07  5.26E-07  5.79E-07  
60Fe  1.46E-08  2.19E-08  2.14E-08  2.86E-08  3.30E-08  6.83E-08  1.01E-07  1.27E-07  
55Co  3.64E-11  4.49E-04  8.81E-12  5.12E-04  1.04E-03  4.43E-12  5.24E-11  1.73E-03  
56Co  8.48E-10  4.91E-03  3.15E-10  5.71E-03  7.69E-03  1.61E-10  9.13E-10  1.32E-02  
57Co  9.11E-08  3.50E-04  1.38E-08  3.07E-04  9.35E-04  2.95E-09  3.31E-08  1.54E-03  
58Co  3.61E-08  1.56E-07  6.39E-09  1.72E-07  3.14E-06  1.56E-09  1.63E-08  7.83E-06  
59Co  1.45E-06  1.45E-06  1.29E-06  1.72E-06  1.71E-06  9.20E-07  1.90E-06  1.92E-06  
60Co  8.26E-08  8.22E-08  1.11E-07  1.44E-07  1.43E-07  1.25E-07  2.58E-07  2.55E-07  
61Co  8.57E-09  9.82E-09  8.44E-09  1.09E-08  1.16E-08  1.47E-08  2.30E-08  2.64E-08  
56Ni  5.09E-12  1.76E-01  3.19E-13  1.80E-01  5.89E-01  4.16E-14  4.64E-12  6.96E-01  
57Ni  4.01E-11  2.69E-03  2.32E-12  2.28E-03  1.44E-02  6.93E-13  4.42E-11  1.57E-02  
58Ni  1.54E-06  5.54E-04  1.71E-06  5.45E-04  6.02E-03  1.87E-06  1.88E-06  1.13E-02  
59Ni  1.05E-07  3.77E-05  3.35E-08  4.34E-05  6.66E-04  2.35E-08  6.44E-08  7.86E-04  
60Ni  4.25E-06  2.94E-03  4.20E-06  1.72E-03  1.02E-02  3.92E-06  5.31E-06  1.44E-02  
61Ni  9.69E-07  1.04E-04  9.97E-07  5.66E-05  2.75E-04  7.53E-07  1.49E-06  4.37E-04  
62Ni  2.60E-06  3.40E-06  2.30E-06  2.79E-05  3.87E-04  1.69E-06  3.49E-06  7.62E-04  
63Ni  2.42E-07  2.43E-07  4.93E-07  6.24E-07  6.19E-07  4.13E-07  8.88E-07  8.80E-07  
64Ni  4.03E-06  3.95E-06  4.40E-06  5.83E-06  5.77E-06  3.19E-06  7.32E-06  7.25E-06  
65Ni  1.46E-08  1.53E-08  1.40E-08  1.75E-08  1.77E-08  1.62E-08  3.06E-08  3.24E-08  
59Cu  0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      
60Cu  8.13E-11  7.59E-08  3.89E-11  6.18E-08  4.41E-03  1.59E-11  6.92E-11  1.27E-03  
61Cu  1.43E-09  3.41E-05  5.70E-10  1.89E-05  4.39E-04  1.29E-10  1.46E-09  3.13E-04  
62Cu  1.20E-09  1.41E-08  1.57E-10  6.85E-07  1.80E-05  4.32E-11  1.46E-09  2.53E-05  
63Cu  5.96E-07  1.80E-06  4.63E-07  2.37E-06  2.27E-05  3.31E-07  7.32E-07  3.79E-05  
